Starting
W3: Destination: Marylebone           Passengers: 4 Taxi: LIV-JXNA55
W1: Destination: Birmingham           Passengers: 4 Taxi: LIV-7E3NY6
W2: Destination: Edinburgh            Passengers: 4 Taxi: MAN-F7GOFL
W2: Destination: Edinburgh            Passengers: 1 Taxi: OXF-MYSOI7
W2: Destination: London Bridge        Passengers: 1 Taxi: MAN-YLEB5V
W1: Destination: Birmingham           Passengers: 4 Taxi: OXF-8SWC3Z
W3: Destination: Forest Hill          Passengers: 4 Taxi: LIV-HKIUSW
W2: Destination: Cambridge            Passengers: 2 Taxi: LON-NE7LCM
W3: Destination: Wimbledon            Passengers: 1 Taxi: MAN-UP0FNX
W1: Destination: Dover                Passengers: 5 Taxi: OXF-WBFGX8
W2: Destination: Saint Giles          Passengers: 1 Taxi: LON-FB5ICF
Application stopped
